"","acti2","dianoc","epoch","sum","mean","sd","d1","d9","q1","q2","q3"
"1","S","Dia","00 0-15",0,0,0,0,0,0,0,0
"2","S","Dia","00 15-30",0,0,0,0,0,0,0,0
"3","S","Dia","01 15-30",0,0,0,0,0,0,0,0
"4","S","Dia","01 30-45",106,7.06666666666667,17.437507467143,0,26.4,0,0,0
"5","S","Dia","01 45-60",6,6,NA,6,6,6,6,6
"6","S","Dia","02 0-15",5,1,2.23606797749979,0,3,0,0,0
"7","S","Dia","09 0-15",0,0,0,0,0,0,0,0
"8","S","Dia","09 15-30",0,0,0,0,0,0,0,0
"9","S","Dia","09 30-45",2,0.125,0.5,0,0,0,0,0
"10","S","Dia","11 30-45",0,0,NA,0,0,0,0,0
"11","S","Dia","11 45-60",0,0,0,0,0,0,0,0
"12","S","Dia","12 0-15",0,0,0,0,0,0,0,0
"13","S","Dia","12 15-30",0,0,0,0,0,0,0,0
"14","S","Dia","12 30-45",7,0.233333333333333,1.27801930084539,0,0,0,0,0
"15","S","Dia","12 45-60",173,5.76666666666667,18.3804306229494,0,9.50000000000001,0,0,0.75
"16","S","Dia","13 0-15",38,1.26666666666667,6.57022192105822,0,0,0,0,0
"17","S","Dia","13 15-30",0,0,0,0,0,0,0,0
"18","S","Dia","13 30-45",318,10.6,54.7575219207056,0,0,0,0,0
"19","S","Dia","13 45-60",255,17,65.8407168855261,0,0,0,0,0
"20","S","Dia","14 0-15",0,0,NA,0,0,0,0,0
"21","S","Dia","22 15-30",28,4,8.50490054811538,0,11.6,0,0,2.5
"22","S","Dia","23 45-60",0,0,0,0,0,0,0,0
"23","S","Noche","00 0-15",2,0.133333333333333,0.351865775274498,0,0.6,0,0,0
"24","S","Noche","00 15-30",6,0.4,1.2983506020002,0,0.6,0,0,0
"25","S","Noche","00 30-45",5,0.217391304347826,1.04257207028537,0,0,0,0,0
"26","S","Noche","00 45-60",7,0.225806451612903,1.25723711418742,0,0,0,0,0
"27","S","Noche","01 0-15",232,5.04347826086957,33.9057232282819,0,0,0,0,0
"28","S","Noche","01 15-30",199,3.31666666666667,15.4957530175826,0,1.1,0,0,0
"29","S","Noche","01 30-45",389,6.48333333333333,40.3650678255961,0,0,0,0,0
"30","S","Noche","01 45-60",745,12.4166666666667,50.1307753058774,0,5.60000000000001,0,0,0
"31","S","Noche","02 0-15",380,6.03174603174603,43.0592121401218,0,0,0,0,0
"32","S","Noche","02 15-30",425,5.05952380952381,37.0214367046192,0,0,0,0,0
"33","S","Noche","02 30-45",202,2.24444444444444,11.9383351097843,0,1,0,0,0
"34","S","Noche","02 45-60",194,2.15555555555556,11.8282760728869,0,0,0,0,0
"35","S","Noche","03 0-15",459,4.54455445544554,27.3695176254442,0,0,0,0,0
"36","S","Noche","03 15-30",1196,10.4912280701754,40.6770674481041,0,0.700000000000003,0,0,0
"37","S","Noche","03 30-45",1377,11.475,41.2624236447887,0,8.10000000000001,0,0,0
"38","S","Noche","03 45-60",259,2.25217391304348,15.720610830428,0,0,0,0,0
"39","S","Noche","04 0-15",889,7.40833333333333,36.8390767668085,0,1.40000000000003,0,0,0
"40","S","Noche","04 15-30",723,6.025,26.1567551568641,0,0.100000000000009,0,0,0
"41","S","Noche","04 30-45",2171,18.0916666666667,65.4879546090695,0,39.5000000000003,0,0,0
"42","S","Noche","04 45-60",386,3.35652173913043,14.9256586468132,0,1,0,0,0
"43","S","Noche","05 0-15",415,3.45833333333333,17.5407788187591,0,0,0,0,0
"44","S","Noche","05 15-30",1399,11.6583333333333,46.0216419373607,0,0,0,0,0
